site,lat,lon
SPO.DE_DEHE049_PM1_dataGroup1,51.31208,9.49112
SPO.DE_DEHE050_PM1_dataGroup1,51.36076,9.27123
SPO.DE_DEHE061_PM1_dataGroup1,50.58411,8.66858
SPO.DE_DEHE062_PM1_dataGroup1,50.80717,8.77051
SPO.DE_DEHE063_PM1_dataGroup1,49.64324,8.642
SPO.DE_DEHE112_PM1_dataGroup1,50.07212,8.22887
SPO.DE_DEHE116_PM1_dataGroup1,50.10149,8.78489
SPO.DE_DEHE131_PM1_dataGroup1,50.38643,8.05991
SPO.DE_DEHE135_PM1_dataGroup1,50.07546,8.57631
SPO.DE_DEHH068_PM1_dataGroup1,53.5923,10.05386
SPO.DE_DEHH081_PM1_dataGroup1,53.52916,9.9816
SPO.DE_DEMV004_PM1_dataGroup1,53.81777,12.06471
SPO.DE_DEMV007_PM1_dataGroup1,54.16155,12.17411
SPO.DE_DEMV017_PM1_dataGroup1,53.3074,11.3733
SPO.DE_DEMV020_PM1_dataGroup1,54.09228,12.14199
SPO.DE_DEMV022_PM1_dataGroup1,54.09262,12.09955
SPO.DE_DEMV025_PM1_dataGroup1,54.31923,13.08101
SPO.DE_DEMV026_PM1_dataGroup1,54.32351,13.34214
SPO.DE_DEMV028_PM1_dataGroup1,53.90226,11.47596
SPO.DE_DEMV031_PM1_dataGroup1,54.17729,12.09792
SPO.DE_DEMV058_PM1_dataGroup1,53.5588,13.2679
SPO.DE_DENI020_PM1_dataGroup1,52.44081,10.81638
SPO.DE_DENI038_PM1_dataGroup1,52.25534,8.05286
SPO.DE_DENI042_PM1_dataGroup1,51.55107,9.94976
SPO.DE_DENI043_PM1_dataGroup1,52.49855,7.31747
SPO.DE_DENI048_PM1_dataGroup1,52.35948,9.7155
SPO.DE_DENI051_PM1_dataGroup1,51.75816,10.61248
SPO.DE_DENI053_PM1_dataGroup1,52.99796,7.94257
SPO.DE_DENI054_PM1_dataGroup1,52.36292,9.70612
SPO.DE_DENI067_PM1_dataGroup1,52.2703,8.04147
SPO.DE_DENI068_PM1_dataGroup1,51.5302,9.92833
SPO.DE_DENI075_PM1_dataGroup1,52.26673,10.54055
SPO.DE_DENI143_PM1_dataGroup1,53.14284,8.21208
SPO.DE_DENI157_PM1_dataGroup1,52.42789,10.79368
SPO.DE_DENW040_PM1_dataGroup1,51.38526,6.76297
SPO.DE_DENW042_PM1_dataGroup1,51.33767,6.64024
SPO.DE_DENW043_PM1_dataGroup1,51.45118,7.03053
SPO.DE_DENW053_PM1_dataGroup1,51.01934,6.88457
SPO.DE_DENW059_PM1_dataGroup1,50.88987,6.98507
SPO.DE_DENW065_PM1_dataGroup1,50.93033,8.19191
SPO.DE_DENW067_PM1_dataGroup1,52.02315,8.54836
SPO.DE_DENW068_PM1_dataGroup1,51.57067,8.14802
SPO.DE_DENW074_PM1_dataGroup1,50.88348,6.46931
SPO.DE_DENW079_PM1_dataGroup1,51.02893,7.00498
SPO.DE_DENW082_PM1_dataGroup1,51.21317,6.78254
SPO.DE_DENW114_PM1_dataGroup1,51.27761,7.23185
SPO.DE_DENW116_PM1_dataGroup1,51.34257,6.67019
SPO.DE_DENW136_PM1_dataGroup1,51.52354,7.48356
SPO.DE_DENW200_PM1_dataGroup1,52.00562,8.55279
SPO.DE_DENW207_PM1_dataGroup1,50.77313,6.09576
SPO.DE_DENW208_PM1_dataGroup1,51.5279,7.08456
SPO.DE_DENW211_PM1_dataGroup1,50.96284,7.00461
SPO.DE_DENW260_PM1_dataGroup1,51.95328,7.61938
SPO.DE_DENW356_PM1_dataGroup1,51.22761,7.64309
SPO.DE_DERP009_PM1_dataGroup1,49.99502,8.27398
SPO.DE_DERP041_PM1_dataGroup1,49.4785,8.44385
SPO.DE_DESL006_PM1_dataGroup1,49.18361,6.74486
SPO.DE_DESL019_PM1_dataGroup1,49.41688,6.55204
SPO.DE_DETH013_PM1_dataGroup1,50.97829,10.31724
SPO.DE_DETH018_PM1_dataGroup1,51.49719,10.7914
SPO.DE_DETH020_PM1_dataGroup1,50.97946,11.03792
SPO.DE_DETH026_PM1_dataGroup1,50.56175,10.3753
SPO.DE_DETH041_PM1_dataGroup1,50.93351,11.59706
SPO.DE_DETH043_PM1_dataGroup1,50.98487,11.01935
SPO.DE_DETH072_PM1_dataGroup1,50.61153,10.69309
SPO.DE_DETH081_PM1_dataGroup1,50.97233,11.01045
SPO.DE_DETH083_PM1_dataGroup1,50.97746,11.32607
SPO.DE_DETH091_PM1_dataGroup1,51.20523,10.44843
SPO.DE_DETH093_PM1_dataGroup1,50.98219,11.32102
SPO.DE_DETH095_PM1_dataGroup1,51.20794,10.451
SPO.DE_DETH117_PM1_dataGroup1,50.99313,11.05658
