site,lon,lat
SPO.DE_DENW040_PM1_dataGroup1,6.76297,51.38526
SPO.DE_DENW042_PM1_dataGroup1,6.64024,51.33767
SPO.DE_DENW043_PM1_dataGroup1,7.03053,51.45118
SPO.DE_DENW053_PM1_dataGroup1,6.88457,51.01934
SPO.DE_DENW059_PM1_dataGroup1,6.98507,50.88987
SPO.DE_DENW065_PM1_dataGroup1,8.19191,50.93033
SPO.DE_DENW067_PM1_dataGroup1,8.54836,52.02315
SPO.DE_DENW068_PM1_dataGroup1,8.14802,51.57067
SPO.DE_DENW071_PM1_dataGroup1,6.73235,51.24921
SPO.DE_DENW074_PM1_dataGroup1,6.46931,50.88348
SPO.DE_DENW079_PM1_dataGroup1,7.00498,51.02893
SPO.DE_DENW081_PM1_dataGroup1,6.87447,51.86204
SPO.DE_DENW082_PM1_dataGroup1,6.78254,51.21317
SPO.DE_DENW095_PM1_dataGroup1,7.61158,51.93654
SPO.DE_DENW114_PM1_dataGroup1,7.23185,51.27761
SPO.DE_DENW116_PM1_dataGroup1,6.67019,51.34257
SPO.DE_DENW134_PM1_dataGroup1,7.00528,51.4779
SPO.DE_DENW136_PM1_dataGroup1,7.48356,51.52354
SPO.DE_DENW179_PM1_dataGroup1,7.58225,51.4488
SPO.DE_DENW189_PM1_dataGroup1,7.14738,51.26068
SPO.DE_DENW200_PM1_dataGroup1,8.55279,52.00562
SPO.DE_DENW207_PM1_dataGroup1,6.09576,50.77313
SPO.DE_DENW208_PM1_dataGroup1,7.08456,51.5279
SPO.DE_DENW211_PM1_dataGroup1,7.00461,50.96284
SPO.DE_DENW260_PM1_dataGroup1,7.61938,51.95328
SPO.DE_DENW355_PM1_dataGroup1,7.01093,51.03147
SPO.DE_DENW356_PM1_dataGroup1,7.64309,51.22761
SPO.DE_DERP009_PM1_dataGroup1,8.27398,49.99502
SPO.DE_DERP010_PM1_dataGroup1,8.26113,50.00103
SPO.DE_DERP041_PM1_dataGroup1,8.44385,49.4785
SPO.DE_DERP046_PM1_dataGroup1,7.46072,50.43144
SPO.DE_DESH015_PM1_dataGroup1,9.5303,53.92442
SPO.DE_DESH056_PM1_dataGroup1,9.36367,54.61667
SPO.DE_DESH057_PM1_dataGroup1,10.1056,54.34761
SPO.DE_DESL006_PM1_dataGroup1,6.74486,49.18361
SPO.DE_DESL017_PM1_dataGroup1,6.86774,49.25434
SPO.DE_DESL019_PM1_dataGroup1,6.55204,49.41688
SPO.DE_DESL030_PM1_dataGroup1,7.16557,49.3995
SPO.DE_DEST011_PM1_dataGroup1,10.79014,51.83938
SPO.DE_DEST029_PM1_dataGroup1,11.73896,51.80353
SPO.DE_DETH011_PM1_dataGroup1,12.43762,50.98776
SPO.DE_DETH013_PM1_dataGroup1,10.31724,50.97829
SPO.DE_DETH018_PM1_dataGroup1,10.7914,51.49719
SPO.DE_DETH020_PM1_dataGroup1,11.03792,50.97946
SPO.DE_DETH026_PM1_dataGroup1,10.3753,50.56175
SPO.DE_DETH036_PM1_dataGroup1,12.2052,50.65586
SPO.DE_DETH041_PM1_dataGroup1,11.59706,50.93351
SPO.DE_DETH043_PM1_dataGroup1,11.01935,50.98487
SPO.DE_DETH061_PM1_dataGroup1,11.66123,50.79162
SPO.DE_DETH072_PM1_dataGroup1,10.69309,50.61153
SPO.DE_DETH081_PM1_dataGroup1,11.01045,50.97233
SPO.DE_DETH083_PM1_dataGroup1,11.32607,50.97746
SPO.DE_DETH091_PM1_dataGroup1,10.44843,51.20523
SPO.DE_DETH093_PM1_dataGroup1,11.32102,50.98219
SPO.DE_DETH095_PM1_dataGroup1,10.451,51.20794
SPO.DE_DETH117_PM1_dataGroup1,11.05658,50.99313
SPO-EE0020A_00005_100,24.76056,59.43111
SPO-FI00184_00005_100,22.135,61.3135
SPO-FI00179_00005_100,22.14306,61.33164
SPO-FI00208_00005_101,24.68486,60.31439
SPO-FI00356_00005_100,24.11233,67.96715
SPO-FI00370_00005_100,25.03953,60.28995
SPO-FI00425_00005_100,24.9506,60.18739
SPO-FI00427_00005_100,24.24566,68.00049
SPO-FI00433_00005_100,28.81014,61.15304
SPO-FI00446_00005_100,25.47132,65.00997
SPO-FI00455_00005_100,25.65489,60.96704
SPO-FI00558_00005_100,27.68688,62.89334
SPO-FI00606_00005_100,28.18431,61.05576
SPO-FI00781_00005_100,25.10244,60.22393
SPO-FI00839_00005_100,27.66193,62.88198
SPO-FI00841_00005_100,24.81133,60.22024
SPO-FI00889_00005_100,25.66579,60.99129
SPO-FI00892_00005_100,26.701,60.87045
SPO-FI00928_00005_100,21.81329,61.48226
SPO-FI00952_00005_100,25.74788,62.23817
SPO-FI00972_00005_100,24.06947,60.24903
SPO-FI01004_00005_100,27.55872,60.53774
SPO-FR02022_5,4.62921,43.67511
SPO-FR02041_5,5.1011,43.639
SPO-FR02043_5,5.22228,43.41653
SPO-FR03029_5,5.44091,43.53029
SPO-FR03080_5,4.80434,43.94967
SPO-FR05090_5,0.10065,49.51469
SPO-FR07004_5,3.11383,45.79728
SPO-FR07052_5,2.44108,44.92008
SPO-FR07058_5,2.59395,46.34072
SPO-FR07061_5,3.12225,45.89674
SPO-FR08020_5,4.08838,43.6758
SPO-FR09103_5,0.16716,45.64743
SPO-FR09302_5,-0.39591,46.14323
SPO-FR09303_5,-0.48286,46.32003
SPO-FR09404_5,0.34558,46.584
SPO-FR10004_5,2.42004,51.04858
SPO-FR10017_5,2.33236,51.03276
SPO-FR12004_5,1.41806,43.57569
SPO-FR12042_5,-0.0405,43.09625
SPO-FR12052_5,0.06234,43.2303
SPO-FR12053_5,2.23015,43.6105
SPO-FR12095_5,2.5707,44.35699
SPO-FR15048_5,5.8822,45.2797
SPO-FR16029_5,7.78163,48.61036
SPO-FR18043_5,2.4744,49.25955
SPO-FR21001_5,-0.39111,49.19222
SPO-FR21031_5,0.11083,48.44555
SPO-FR21038_5,-1.62436,49.64225
SPO-FR21050_5,-0.45833,48.645
SPO-FR23124_5,-0.74338,46.65662
SPO-FR23152_5,-1.43686,46.66065
SPO-FR23177_5,-0.44476,47.78833
SPO-FR23182_5,0.22136,47.97115
SPO-FR23239_5,-1.5915,47.18594
SPO-FR23249_5,-2.12734,47.32113
SPO-FR24009_5,7.00592,43.55839
SPO-FR24036_5,7.28626,43.70208
SPO-FR25039_5,1.14832,49.02134
SPO-FR25043_5,1.09904,49.4005
SPO-FR26017_5,3.17109,46.99683
SPO-FR26019_5,3.57619,47.80058
SPO-FR27007_5,5.27087,45.60822
SPO-FR31007_5,-0.51584,44.90029
SPO-FR33121_5,6.38972,45.675
SPO-FR33212_5,6.21453,46.19364
SPO-FR34024_5,0.65378,47.34414
SPO-FR34032_5,2.40533,47.08278
SPO-FR36019_5,5.0443,45.0425
SPO-FR36021_5,5.27897,44.56944
SPO-FR41001_5,8.73569,41.92469
SPO-FR42010_5,7.76783,48.57281
SPO-FR82010_5,6.794,47.51031
SPO-HU0024A_00005_100,17.63944,47.68528
SPO-HU0027A_00005_100,20.79001,48.10694
SPO-HU0029A_00005_100,18.21112,46.08028
SPO-HU0035A_00005_100,16.57501,47.69194
SPO-HU0042A_00005_100,19.14612,47.54194
SPO-IS0005A_00005_103,-21.87465,64.1301
SPO-IS0025A_00005_100,-21.75914,64.37358
SPO-IS0037A_00005_100,-21.889,64.10495
SPO-IS0041A_00005_100,-21.83569,64.33416
SPO-IS0049A_00005_100,-17.34217,66.07928
SPO-IS0050A_00005_100,-17.34755,66.05486
SPO-STA-IS0063A_00005_100,-21.82489,64.08564
SPO-STA-IS0064A_00005_100,-21.99609,64.08799
SPO.IT0508A_5_nephelometry_beta_2020-01-01_00:00:00,11.94403,46.79735
SPO.IT2288A_5_BETA_2018-01-01_00:00:00,15.24757,38.23147
SPO-LT00012_00005_100,24.36557,55.725
