site,lon,lat
SPO.DE_DEHE135_PM2_dataGroup1,8.57631,50.07546
SPO.DE_DEHH059_PM2_dataGroup1,9.99057,53.50793
SPO.DE_DEHH068_PM2_dataGroup1,10.05386,53.5923
SPO.DE_DEHH079_PM2_dataGroup1,9.94482,53.54527
SPO.DE_DEHH081_PM2_dataGroup1,9.9816,53.52916
SPO.DE_DEHH082_PM2_dataGroup1,9.9614,53.6222
SPO.DE_DEMV004_PM2_dataGroup1,12.06471,53.81777
SPO.DE_DEMV007_PM2_dataGroup1,12.17411,54.16155
SPO.DE_DEMV012_PM2_dataGroup1,14.25741,53.52046
SPO.DE_DEMV017_PM2_dataGroup1,11.3733,53.3074
SPO.DE_DEMV019_PM2_dataGroup1,12.17551,53.78175
SPO.DE_DEMV020_PM2_dataGroup1,12.14199,54.09228
SPO.DE_DEMV021_PM2_dataGroup1,12.08,54.17133
SPO.DE_DEMV022_PM2_dataGroup1,12.09955,54.09262
SPO.DE_DEMV024_PM2_dataGroup1,12.46393,53.39635
SPO.DE_DEMV025_PM2_dataGroup1,13.08101,54.31923
SPO.DE_DEMV026_PM2_dataGroup1,13.34214,54.32351
SPO.DE_DEMV028_PM2_dataGroup1,11.47596,53.90226
SPO.DE_DEMV031_PM2_dataGroup1,12.09792,54.17729
SPO.DE_DEMV058_PM2_dataGroup1,13.2679,53.5588
SPO.DE_DEMV059_PM2_dataGroup1,11.39795,53.63052
SPO.DE_DEMV060_PM2_dataGroup1,13.2682,53.5461
SPO.DE_DENI020_PM2_dataGroup1,10.81638,52.44081
SPO.DE_DENI038_PM2_dataGroup1,8.05286,52.25534
SPO.DE_DENI042_PM2_dataGroup1,9.94976,51.55107
SPO.DE_DENI043_PM2_dataGroup1,7.31747,52.49855
SPO.DE_DENI048_PM2_dataGroup1,9.7155,52.35948
SPO.DE_DENI051_PM2_dataGroup1,10.61248,51.75816
SPO.DE_DENI053_PM2_dataGroup1,7.94257,52.99796
SPO.DE_DENI054_PM2_dataGroup1,9.70612,52.36292
SPO.DE_DENI060_PM2_dataGroup1,11.16705,52.95702
SPO.DE_DENI067_PM2_dataGroup1,8.04147,52.2703
SPO.DE_DENI068_PM2_dataGroup1,9.92833,51.5302
SPO.DE_DENI070_PM2_dataGroup1,10.45591,52.15369
SPO.DE_DENI075_PM2_dataGroup1,10.54055,52.26673
SPO.DE_DENI077_PM2_dataGroup1,9.55462,51.70884
SPO.DE_DENI143_PM2_dataGroup1,8.21208,53.14284
SPO.DE_DENI157_PM2_dataGroup1,10.79368,52.42789
SPO.DE_DENW029_PM2_dataGroup1,7.20855,51.40301
SPO.DE_DENW040_PM2_dataGroup1,6.76297,51.38526
SPO.DE_DENW042_PM2_dataGroup1,6.64024,51.33767
SPO.DE_DENW043_PM2_dataGroup1,7.03053,51.45118
SPO.DE_DENW053_PM2_dataGroup1,6.88457,51.01934
SPO.DE_DENW059_PM2_dataGroup1,6.98507,50.88987
SPO.DE_DENW065_PM2_dataGroup1,8.19191,50.93033
SPO.DE_DENW067_PM2_dataGroup1,8.54836,52.02315
SPO.DE_DENW068_PM2_dataGroup1,8.14802,51.57067
SPO.DE_DENW071_PM2_dataGroup1,6.73235,51.24921
SPO.DE_DENW074_PM2_dataGroup1,6.46931,50.88348
SPO.DE_DENW079_PM2_dataGroup1,7.00498,51.02893
SPO.DE_DENW081_PM2_dataGroup1,6.87447,51.86204
SPO.DE_DENW082_PM2_dataGroup1,6.78254,51.21317
SPO.DE_DENW114_PM2_dataGroup1,7.23185,51.27761
SPO.DE_DENW116_PM2_dataGroup1,6.67019,51.34257
SPO.DE_DENW136_PM2_dataGroup1,7.48356,51.52354
SPO.DE_DENW179_PM2_dataGroup1,7.58225,51.4488
SPO.DE_DENW189_PM2_dataGroup1,7.14738,51.26068
SPO.DE_DENW200_PM2_dataGroup1,8.55279,52.00562
SPO.DE_DENW207_PM2_dataGroup1,6.09576,50.77313
SPO.DE_DENW208_PM2_dataGroup1,7.08456,51.5279
SPO.DE_DENW211_PM2_dataGroup1,7.00461,50.96284
SPO.DE_DENW260_PM2_dataGroup1,7.61938,51.95328
SPO.DE_DENW355_PM2_dataGroup1,7.01093,51.03147
SPO.DE_DENW356_PM2_dataGroup1,7.64309,51.22761
SPO.DE_DERP009_PM2_dataGroup1,8.27398,49.99502
SPO.DE_DERP041_PM2_dataGroup1,8.44385,49.4785
SPO.DE_DESH015_PM2_dataGroup1,9.5303,53.92442
SPO.DE_DESH057_PM2_dataGroup1,10.1056,54.34761
SPO.DE_DESL006_PM2_dataGroup1,6.74486,49.18361
SPO.DE_DESL017_PM2_dataGroup1,6.86774,49.25434
SPO.DE_DEST029_PM2_dataGroup1,11.73896,51.80353
SPO.DE_DEST066_PM2_dataGroup1,12.66366,51.87085
SPO.DE_DETH009_PM2_dataGroup1,12.0749,50.87792
SPO.DE_DETH011_PM2_dataGroup1,12.43762,50.98776
SPO.DE_DETH013_PM2_dataGroup1,10.31724,50.97829
SPO.DE_DETH018_PM2_dataGroup1,10.7914,51.49719
SPO.DE_DETH020_PM2_dataGroup1,11.03792,50.97946
SPO.DE_DETH026_PM2_dataGroup1,10.3753,50.56175
SPO.DE_DETH036_PM2_dataGroup1,12.2052,50.65586
SPO.DE_DETH041_PM2_dataGroup1,11.59706,50.93351
SPO.DE_DETH043_PM2_dataGroup1,11.01935,50.98487
SPO.DE_DETH061_PM2_dataGroup1,11.66123,50.79162
SPO.DE_DETH072_PM2_dataGroup1,10.69309,50.61153
SPO.DE_DETH081_PM2_dataGroup1,11.01045,50.97233
SPO.DE_DETH083_PM2_dataGroup1,11.32607,50.97746
SPO.DE_DETH091_PM2_dataGroup1,10.44843,51.20523
SPO.DE_DETH093_PM2_dataGroup1,11.32102,50.98219
SPO.DE_DETH095_PM2_dataGroup1,10.451,51.20794
SPO.DE_DETH117_PM2_dataGroup1,11.05658,50.99313
SP_30027002_9_A,-1.20481,38.05737
SP_25209001_9_47,1.13,42.4054
SP_12140002_9_46,-0.60333,39.93056
SP_08112003_9_47,2.2873,42.0033
SPO-FI00208_06001_100,24.68486,60.31439
SPO-FI00280_06001_100,28.24585,61.05748
SPO-FI00356_06001_100,24.11233,67.96715
SPO-FI00370_06001_100,25.03953,60.28995
SPO-FI00425_06001_100,24.9506,60.18739
SPO-FI00427_06001_100,24.24566,68.00049
SPO-FI00801_06001_100,23.80221,61.4991
SPO-FI00841_06001_100,24.81133,60.22024
SPO-FI00928_06001_100,21.81329,61.48226
SPO-FI00952_06001_100,25.74788,62.23817
SPO-FI00955_06001_100,27.64725,62.89553
SPO-FI00972_06001_100,24.06947,60.24903
SPO-FI01004_06001_100,27.55872,60.53774
SPO-FR02022_6001,4.62921,43.67511
SPO-FR02041_6001,5.1011,43.639
SPO-FR02043_6001,5.22228,43.41653
SPO-FR03029_6001,5.44091,43.53029
SPO-FR03080_6001,4.80434,43.94967
SPO-FR04328_6001,2.6453,48.3547
SPO-FR05090_6001,0.10065,49.51469
SPO-FR07004_6001,3.11383,45.79728
SPO-FR07052_6001,2.44108,44.92008
SPO-FR07058_6001,2.59395,46.34072
SPO-FR08020_6001,4.08838,43.6758
SPO-FR09103_6001,0.16716,45.64743
SPO-FR09302_6001,-0.39591,46.14323
SPO-FR09303_6001,-0.48286,46.32003
SPO-FR09404_6001,0.34558,46.584
SPO-FR12004_6001,1.41806,43.57569
SPO-FR12042_6001,-0.0405,43.09625
SPO-FR12053_6001,2.23015,43.6105
SPO-FR12095_6001,2.5707,44.35699
SPO-FR15048_6001,5.8822,45.2797
SPO-FR18043_6001,2.4744,49.25955
SPO-FR21001_6001,-0.39111,49.19222
SPO-FR21031_6001,0.11083,48.44555
SPO-FR21038_6001,-1.62436,49.64225
SPO-FR21050_6001,-0.45833,48.645
SPO-FR23110_6001,-2.25015,47.26411
SPO-FR23124_6001,-0.74338,46.65662
SPO-FR23152_6001,-1.43686,46.66065
SPO-FR23177_6001,-0.44476,47.78833
SPO-FR23182_6001,0.22136,47.97115
SPO-FR23249_6001,-2.12734,47.32113
SPO-FR24009_6001,7.00592,43.55839
SPO-FR24036_6001,7.28626,43.70208
SPO-FR25039_6001,1.14832,49.02134
SPO-FR25043_6001,1.09904,49.4005
SPO-FR26019_6001,3.57619,47.80058
SPO-FR27007_6001,5.27087,45.60822
SPO-FR31007_6001,-0.51584,44.90029
SPO-FR33121_6001,6.38972,45.675
SPO-FR33212_6001,6.21453,46.19364
SPO-FR34024_6001,0.65378,47.34414
SPO-FR34032_6001,2.40533,47.08278
SPO-FR36019_6001,5.0443,45.0425
SPO-FR36021_6001,5.27897,44.56944
SPO-FR41001_6001,8.73569,41.92469
SPO-FR42010_6001,7.76783,48.57281
SPO-FR82010_6001,6.794,47.51031
SPO-HU0024A_06001_100,17.63944,47.68528
SPO-HU0029A_06001_100,18.21112,46.08028
SPO-HU0033A_06001_100,18.93611,46.97611
SPO-HU0044A_06001_100,21.21168,48.47389
SPO-IS0002A_06001_100,-21.99073,64.05887
SPO-IS0005A_06001_101,-21.87465,64.1301
SPO-IS0025A_06001_100,-21.75914,64.37358
SPO-IS0041A_06001_100,-21.83569,64.33416
SPO-IS0046A_06001_100,-21.98535,64.04416
SPO-IS0049A_06001_100,-17.34217,66.07928
SPO-IS0050A_06001_100,-17.34755,66.05486
SPO-IS0056A_06001_100,-21.946,64.142
SPO-STA-IS0063A_06001_100,-21.82489,64.08564
